,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC
Date,,,,,,,,,,,,,,,,,,
2018-01-22,26214.599609375,2832.969970703125,7408.02978515625,26214.599609375,2832.969970703125,7408.02978515625,26215.23046875,2833.030029296875,7408.02978515625,25974.650390625,2808.1201171875,7332.81005859375,26025.3203125,2809.159912109375,7338.0400390625,431200000,3489480000,2118310000
2018-01-23,26210.810546875,2839.1298828125,7460.2900390625,26210.810546875,2839.1298828125,7460.2900390625,26246.189453125,2842.239990234375,7465.39013671875,26143.900390625,2830.590087890625,7423.18017578125,26214.869140625,2835.050048828125,7424.9501953125,433490000,3541140000,2135840000
2018-01-24,26252.119140625,2837.5400390625,7415.06005859375,26252.119140625,2837.5400390625,7415.06005859375,26392.80078125,2852.969970703125,7486.31982421875,26106.939453125,2824.81005859375,7376.75,26282.0703125,2845.419921875,7474.16015625,518790000,4079270000,2287320000
2018-01-25,26392.7890625,2839.25,7411.16015625,26392.7890625,2839.25,7411.16015625,26458.25,2848.56005859375,7458.52978515625,26259.720703125,2830.93994140625,7388.580078125,26313.060546875,2846.239990234375,7457.9501953125,401390000,3873100000,2081380000
2018-01-26,26616.7109375,2872.8701171875,7505.77001953125,26616.7109375,2872.8701171875,7505.77001953125,26616.7109375,2872.8701171875,7505.77001953125,26425.349609375,2846.179931640625,7431.22021484375,26466.740234375,2847.47998046875,7448.330078125,477780000,3474680000,2080700000
2018-01-29,26439.48046875,2853.530029296875,7466.509765625,26439.48046875,2853.530029296875,7466.509765625,26608.900390625,2870.6201171875,7500.60986328125,26435.33984375,2851.47998046875,7455.5498046875,26584.279296875,2867.22998046875,7484.47021484375,421000000,3587420000,2114420000
2018-01-30,26076.890625,2822.429931640625,7402.47998046875,26076.890625,2822.429931640625,7402.47998046875,26256.990234375,2837.75,7433.64990234375,26028.419921875,2818.27001953125,7373.990234375,26198.44921875,2832.739990234375,7388.89013671875,448330000,4012070000,2183420000
2018-01-31,26149.390625,2823.81005859375,7411.47998046875,26149.390625,2823.81005859375,7411.47998046875,26338.029296875,2839.260009765625,7453.990234375,26050.98046875,2813.0400390625,7381.1201171875,26268.169921875,2832.409912109375,7443.25,479130000,4276270000,2428990000
2018-02-01,26186.7109375,2821.97998046875,7385.85986328125,26186.7109375,2821.97998046875,7385.85986328125,26306.69921875,2835.9599609375,7441.08984375,26014.439453125,2812.699951171875,7362.27978515625,26083.0390625,2816.449951171875,7377.169921875,410620000,3977380000,2311180000
2018-02-02,25520.9609375,2762.1298828125,7240.9501953125,25520.9609375,2762.1298828125,7240.9501953125,26061.7890625,2808.919921875,7364.43017578125,25490.66015625,2759.969970703125,7238.18017578125,26061.7890625,2808.919921875,7347.58984375,522880000,4340220000,2607160000
